DATAFLOW,LAST UPDATE,freq,unit,nace_r2,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q2,154.38,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q3,154.63,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q4,153.98,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q1,153.69,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q2,154.37,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q3,151.31,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q4,152.81,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q1,153.96,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q2,153.49,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q3,151.92,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q4,152.62,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Industry (except construction),Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q2,1469.87,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Industry (except construction),Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q3,1457.41,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Industry (except construction),Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q4,1450.07,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Industry (except construction),Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q1,1434.08,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Industry (except construction),Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q2,1440.56,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Industry (except construction),Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q3,1438.40,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Industry (except construction),Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q4,1433.57,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Industry (except construction),Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q1,1428.00,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Industry (except construction),Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q2,1433.69,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Industry (except construction),Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q3,1434.56,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Industry (except construction),Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q4,1435.36,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Manufacturing,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q2,1343.02,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Manufacturing,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q3,1333.38,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Manufacturing,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q4,1327.45,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Manufacturing,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q1,1310.85,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Manufacturing,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q2,1312.61,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Manufacturing,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q3,1314.15,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Manufacturing,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q4,1310.49,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Manufacturing,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q1,1303.81,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Manufacturing,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q2,1307.07,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Manufacturing,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q3,1310.11,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Manufacturing,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q4,1314.05,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Construction,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q2,424.24,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Construction,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q3,423.07,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Construction,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2023-Q4,421.33,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Construction,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q1,416.49,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Construction,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q2,420.05,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Construction,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q3,422.90,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Construction,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2024-Q4,424.48,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Construction,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q1,425.82,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Construction,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q2,424.81,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Construction,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q3,435.37,,
ESTAT:TEC00109(1.0),30/04/26 23:00:00,Quarterly,Thousand persons,Construction,Seasonally and calendar adjusted data,Total employment domestic concept,Czechia,2025-Q4,439.51,,
