DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,1996-Q1,60.605,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,1996-Q2,65.502,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,1996-Q3,66.301,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,1996-Q4,66.546,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,1997-Q1,60.773,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,1997-Q2,64.890,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,1997-Q3,64.936,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,1997-Q4,64.895,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,1998-Q1,59.833,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,1998-Q2,64.393,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,1998-Q3,65.030,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,1998-Q4,65.312,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,1999-Q1,60.146,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,1999-Q2,64.605,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,1999-Q3,65.954,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,1999-Q4,67.092,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2000-Q1,62.779,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2000-Q2,67.641,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2000-Q3,69.371,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2000-Q4,69.854,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2001-Q1,65.254,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2001-Q2,69.683,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2001-Q3,70.824,,
ESTAT:NAMQ_10_GDP(1.0),30/04/26 11:00:00,Quarterly,"Chain linked volumes, index 2015=100","Calendar adjusted data, not seasonally adjusted data","Value added, gross",Czechia,2001-Q4,71.770,,
